2022-04-08 12:27:42.523 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.8&type=15&subid=0，请求状态：200
2022-04-08 12:27:42.523 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.24&type=15&subid=0，请求状态：200
2022-04-08 12:27:42.837 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwbf318815/2021/ElectricMood/82571_LPOTH_Kit_R.jpg?sw=600&sh=600&sm=fit&sfrm=png，请求状态：200
2022-04-08 12:27:42.851 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw9c74d9da/2021/57359_SCTRE_OpenA_R.jpg?sw=600&sh=600&sm=fit&sfrm=png，请求状态：200
2022-04-08 12:27:46.124 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwedd15e0a/2021/camocc/correct%20images%20-%20non-CA%20packaging/82867_FCFND_OpenA_C.jpg?sw=600&sh=600&sm=fit&sfrm=jpg，请求状态：200
2022-04-08 12:27:46.153 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.29&type=15&subid=0，请求状态：200
2022-04-08 12:27:46.881 | INFO     | __main__:cell_checker:122 - 请求链接：https://click.linksynergy.com/link?id=o0PH*nrGc0U&offerid=900493.8&type=15&murl=https%3A%2F%2Fwww.elfcosmetics.com%2Felectric-mood-x-tiana-lip-duo%2F82571.html，请求状态：410
2022-04-08 12:27:47.330 | INFO     | __main__:cell_checker:122 - 请求链接：https://click.linksynergy.com/link?id=o0PH*nrGc0U&offerid=900493.24&type=15&murl=https%3A%2F%2Fwww.elfcosmetics.com%2Fcbd-100mg-body-oil%2F57359.html，请求状态：200
2022-04-08 12:27:49.495 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.45&type=15&subid=0，请求状态：200
2022-04-08 12:27:49.620 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw59f701a5/83124AcneFightingFoundation_004cA.jpg?sw=600&sh=600&sm=fit&sfrm=jpg，请求状态：200
2022-04-08 12:27:50.677 | INFO     | __main__:cell_checker:122 - 请求链接：https://click.linksynergy.com/link?id=o0PH*nrGc0U&offerid=900493.29&type=15&murl=https%3A%2F%2Fwww.elfcosmetics.com%2Fcamo-cc-cream%2F82867.html，请求状态：200
2022-04-08 12:27:50.962 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw5c121154/2021/camocc/correct%20images%20-%20non-CA%20packaging/82863_FCFND_OpenA_C.jpg?sw=600&sh=600&sm=fit&sfrm=jpg，请求状态：200
2022-04-08 12:27:51.072 | INFO     | __main__:cell_checker:122 - 请求链接：https://click.linksynergy.com/link?id=o0PH*nrGc0U&offerid=900493.45&type=15&murl=https%3A%2F%2Fwww.elfcosmetics.com%2Facne-fighting-foundation%2F83124.html，请求状态：200
2022-04-08 12:27:52.829 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.47&type=15&subid=0，请求状态：200
2022-04-08 12:27:54.070 | INFO     | __main__:cell_checker:122 - 请求链接：https://ad.linksynergy.com/fs-bin/show?id=o0PH*nrGc0U&bids=900493.50&type=15&subid=0，请求状态：200
2022-04-08 12:27:54.097 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw238936bc/83408_BlemishControlFacePrimerShortAA.jpg?sw=600&sh=600&sm=fit&sfrm=jpg，请求状态：200
2022-04-08 12:27:56.577 | INFO     | __main__:cell_checker:122 - 请求链接：https://www.elfcosmetics.com/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwa0df516a/2021/70990_InPack_R.jpg?sw=600&sh=600&sm=fit&sfrm=png，请求状态：200
